Date,Celebrity Name,Distance (Miles),Departure Port,Arrival Port,Gallons (Fuel),Pounds (Fuel),Cost of Fuel,CO2 emissions (aprx.Tons)
2022-07-09,Tiger Wood,352,SNN,ADX,435,2917,3016,5
2022-07-08,Kenny Chesney,1318,BNA,BZN,1114,7469,7745,12
2022-07-08,Puma/Jay-Z,1746,VNY,MDW,1452,9731,10091,15
2022-07-08,Floyd Mayweather,229,VNY,LAS,320,2147,2230,3
2022-07-07,Mark Wahlberg,2144,COE,TEB,1878,12589,13073,20
2022-07-07,Kim Kardashian,35,VNY,KCMA,91,612,636,1
2022-07-07,Kim Kardashian,5656,LBG,VNY,5326,35692,37066,56
2022-07-06,Taylor Swift,867,GON,BNA,816,5470,5689,9
2022-07-06,Puma/Jay-Z,741,EGE,VNY,734,4916,5113,8
2022-07-06,Taylor Swift,867,BNA,GON,684,4585,4768,7
2022-07-06,Puma/Jay-Z,1733,BLM,EGE,1643,11015,11455,17
2022-07-06,A-Rod,599,OPF,PDK,716,4800,4992,8
2022-07-06,Puma/Jay-Z,53,FRG,BLM,116,780,811,1
2022-07-06,Floyd Mayweather,229,LAS,VNY,331,2220,2308,3
2022-07-05,Travis Scott,2451,EWR,VNY,2450,16421,17053,26
2022-07-05,Kim Kardashian,3574,FOK,LBG,3193,21397,22221,34
2022-07-05,Jack Nicklaus,1809,CO03,FOK,1517,10167,10559,16
2022-07-04,Kim Kardashian,2562,KCMA,FOK,2345,15716,16321,25
2022-07-04,Travis Scott,81,FOK,EWR,227,1525,1583,2
2022-07-04,Tom Cruise,2168,LAS,FXE,1341,8988,9334,14
2022-07-04,Kim Kardashian,167,SDM,KCMA,277,1860,1931,3
2022-07-03,Kim Kardashian,2830,PLS,SDM,2640,17693,18374,28
2022-07-03,Travis Scott,1119,OPF,FOK,1150,7708,8005,12
2022-07-03,Kenny Chesney,481,MKC,BNA,353,364,2455,4
2022-07-03,Tiger Wood,1132,ARN,SNN,1004,6730,6989,11
2022-07-02,Taylor Swift,867,GON,BNA,840,5631,5848,9
2022-07-02,Mark Wahlberg,940,VNY,COE,891,5972,6202,9
2022-07-02,Taylor Swift,1002,SUS,GON,700,4689,4870,7
2022-07-02,Taylor Swift,280,BNA,SUS,307,2055,2135,3
2022-07-02,Taylor Swift,5443,BUR,STN,3787,25381,26358,40
2022-07-02,Mark Wahlberg,19,LAX,VNY,83,558,579,1
2022-07-02,Mark Wahlberg,5440,LTN,LAX,5111,34253,35520,54
2022-07-01,Blake Shelton,61,DAL,TE68,133,889,922,1
2022-07-01,Tiger Wood,35,SUA,PBI,109,731,758,1
2022-07-01,Blake Shelton,3,11TX,DAL,172,1151,1193,2
2022-07-01,Blake Shelton,61,DAL,TE68,160,1069,1109,2
2022-07-01,Steven Spielberg,3584,RTM,FOK,3406,22829,23674,36
2022-07-01,Kenny Chesney,197,XNA,MKC,208,1391,1441,2
2022-07-01,Floyd Mayweather,223,BUR,LAS,341,2285,2366,4
2022-06-30,Kenny Chesney,426,BNA,XNA,360,2416,2501,4
2022-06-30,Harrison Ford,830,KDIJ,ICT,387,2596,2689,4
2022-06-30,Tom Cruise,2168,FXE,LAS,1325,8878,9193,14
2022-06-30,Oprah Winfrey,205,PDK,BNA,312,2093,2167,3
2022-06-30,Harrison Ford,781,HHR,KDIJ,418,2799,2898,4
2022-06-30,Kenny Chesney,327,JAN,BNA,255,1710,1773,3
2022-06-30,Kenny Chesney,738,BTL,JAN,546,3658,3794,6
2022-06-29,Kim Kardashian,63,MYG,PLS,149,998,1035,2
2022-06-29,Steven Spielberg,28,AMS,RTM,145,975,1011,2
2022-06-29,Steven Spielberg,3589,FOK,AMS,3048,20427,21183,32
2022-06-28,Tom Cruise,34,PBI,FXE,65,435,451,1
2022-06-28,Tom Cruise,1216,LWM,PBI,833,5580,5786,9
2022-06-28,Drake,38,YYZ,YHM,426,2855,2961,4
2022-06-28,Drake,1226,OPF,YYZ,4297,28799,29779,45
2022-06-27,Tom Cruise,199,TEB,LWM,220,1472,1522,2
2022-06-27,Tom Cruise,1616,SJU,TEB,1239,8301,8583,13
2022-06-27,Tom Cruise,1054,BCT,SJU,641,4295,4441,7
2022-06-27,Mark Wahlberg,236,LTN,LBG,437,2930,3029,5
2022-06-26,Tom Cruise,2166,LAS,BCT,1345,9016,9323,14
2022-06-26,Puma/Jay-Z,168,BOS,FRG,292,1959,2026,3
2022-06-26,Tiger Wood,28,SAN,CLD,113,757,782,1
2022-06-25,Puma/Jay-Z,1067,DAL,LAS,995,6668,6894,11
2022-06-25,A-Rod,381,BGR,TEB,505,3387,3503,5
2022-06-24,Floyd Mayweather,223,LAS,BUR,350,2345,2424,4
2022-06-24,Floyd Mayweather,223,LAS,LAS,85,569,588,1
2022-06-24,Floyd Mayweather,229,VNY,LAS,292,1956,2023,3
2022-06-24,Steven Spielberg,288,IAD,FOK,426,2857,2959,5
2022-06-24,Taylor Swift,1790,BUR,BNA,1289,8639,8946,14
2022-06-23,Puma/Jay-Z,1403,FRG,DAL,1384,9276,9606,15
2022-06-23,Steven Spielberg,288,FOK,IAD,452,3029,3136,5
2022-06-22,Tom Cruise,608,FXE,TOC,410,2747,2828,4
2022-06-20,Tiger Wood,126,VNY,SAN,244,1634,1672,3
2022-06-20,Taylor Swift,612,BNA,PIE,476,3187,3262,5
2022-06-20,A-Rod,108,IBZ,VLC,273,1833,1876,3
2022-06-20,A-Rod,449,NCE,IBZ,608,4075,4171,6
2022-06-20,Puma/Jay-Z,1061,FRG,BCT,950,6367,6517,10
2022-06-20,Tom Cruise,1696,APA,FXE,1025,6870,7032,11
2022-06-20,Puma/Jay-Z,779,ATL,FRG,843,5647,5780,9
2022-06-19,Puma/Jay-Z,534,IAD,ATL,512,3429,3510,5
2022-06-19,Kenny Chesney,433,BNA,BTL,365,2445,2503,4
2022-06-19,Kenny Chesney,675,PHL,BNA,522,3496,3578,6
2022-06-19,Puma/Jay-Z,534,ATL,IAD,598,4011,4106,6
2022-06-18,Oprah Winfrey,101,HNL,OGG,176,1178,1206,2
2022-06-18,Drake,8,MIA,OPF,329,2207,2262,3
2022-06-18,Drake,1233,YYZ,MIA,4980,33379,34215,53
2022-06-17,Drake,38,YHM,YYZ,481,3223,3304,5
2022-06-17,Puma/Jay-Z,534,IAD,ATL,593,3971,4071,6
2022-06-17,Floyd Mayweather,229,LAS,VNY,348,2336,2394,4
2022-06-17,Puma/Jay-Z,223,TEB,IAD,367,2457,2518,4
2022-06-17,Tom Cruise,300,FXE,APA,1047,7019,7194,11
2022-06-17,Puma/Jay-Z,35,FRG,TEB,304,2035,2086,3
2022-06-17,Floyd Mayweather,229,VNY,LAS,321,2149,2194,3
2022-06-17,Kenny Chesney,145,MNZ,PHL,223,1492,1523,2
2022-06-17,Kenny Chesney,145,ORF,MNZ,196,1313,1340,2
2022-06-16,Oprah Winfrey,101,OGG,HNL,185,1238,1264,2
2022-06-16,Oprah Winfrey,2845,PHX,OGG,2739,18354,18731,29
2022-06-16,Dan Bilzerian,3693,DUB,DWC,3944,26433,26977,42
2022-06-16,Steven Spielberg,2531,FOK,VNY,2537,17004,17354,27
2022-06-16,Oprah Winfrey,1592,PDK,PHX,1586,10631,10850,17
2022-06-16,Taylor Swift,943,BNA,ELH,702,4706,4803,7
2022-06-16,Steven Spielberg,75,TEB,FOK,199,1332,1359,2
2022-06-16,Floyd Mayweather,229,LAS,VNY,325,2177,2219,3
2022-06-14,Taylor Swift,738,MMU,BNA,628,4207,4256,7
2022-06-14,Dan Bilzerian,3691,5MN7,DUB,3537,23705,23980,37
2022-06-13,Dan Bilzerian,1300,LAS,MN18,1215,8144,8226,13
2022-06-13,Jack Nicklaus,114,BAF,TEB,240,1611,1628,3
2022-06-13,Puma/Jay-Z,413,IAD,BOS,468,3136,3168,5
2022-06-13,Taylor Swift,612,PIE,BNA,535,3583,3619,6
2022-06-13,Kenny Chesney,462,PIT,BNA,378,2535,2560,4
2022-06-13,Taylor Swift,612,BNA,PIE,487,3262,3295,5
2022-06-13,Floyd Mayweather,2119,SYR,LAS,2283,15301,15456,24
2022-06-12,Puma/Jay-Z,545,PBI,ATL,586,3930,3970,6
2022-06-12,Taylor Swift,738,MMU,BNA,598,4009,4049,6
2022-06-11,Floyd Mayweather,188,TEB,SYR,269,1806,1824,3
2022-06-10,Taylor Swift,738,BNA,MMU,564,3778,3817,6
2022-06-10,Kenny Chesney,75,AKC,PIT,118,792,800,1
2022-06-10,Tom Cruise,901,FXE,ESN,210,1406,1420,2
2022-06-10,Kenny Chesney,35,BKL,AKC,78,525,531,1
2022-06-09,Oprah Winfrey,101,HNL,OGG,211,1413,1427,2
2022-06-09,Floyd Mayweather,2232,LAS,TEB,1961,13145,13278,21
2022-06-09,Taylor Swift,1790,BUR,BNA,1198,8030,8076,13
2022-06-09,Kenny Chesney,243,IUA,BKL,248,1663,1672,3
2022-06-09,Puma/Jay-Z,1197,BED,PBI,1263,8465,8513,13
2022-06-08,Puma/Jay-Z,182,TEB,BED,297,1992,2003,3
2022-06-08,Puma/Jay-Z,2122,GND,TEB,2151,14417,14499,23
2022-06-08,Harrison Ford,1945,HHR,TYS,974,6531,6568,10
2022-06-08,Kenny Chesney,684,BNA,IUA,506,3390,3410,5
2022-06-08,Floyd Mayweather,2174,MIA,LAS,2174,14569,14651,23
2022-06-08,Floyd Mayweather,460,GCM,MIA,839,5620,5618,9
2022-06-07,Puma/Jay-Z,1197,PBI,BOS,1118,7491,7489,12
2022-06-07,Puma/Jay-Z,2335,VNY,PBI,1921,12874,12870,20
2022-06-06,Floyd Mayweather,613,PLS,TC-0001,27,182,182,0
2022-06-04,Mark Wahlberg,229,LAS,VNY,337,2259,2258,4
2022-06-04,Mark Wahlberg,229,VNY,LAS,280,1878,1877,3
2022-06-04,Taylor Swift,612,TPA,BNA,461,3093,3092,5
2022-06-03,Blake Shelton,61,DAL,DAL,351,2354,2354,4
2022-06-03,Puma/Jay-Z,2122,GND,TEB,2134,14304,14299,23
2022-06-03,Floyd Mayweather,913,IAD,OPF,1058,7094,7092,11
2022-06-03,Kenny Chesney,26,ADS,KGKY,136,909,908,1
2022-06-03,Kenny Chesney,214,DWH,ADS,234,1570,1570,2
2022-06-03,Magic Johnson,320,SFO,VNY,482,3233,3232,5
2022-06-03,Mark Wahlberg,5110,SNN,VNY,4823,32324,32314,51
2022-06-03,Taylor Swift,738,BNA,MMU,601,4031,4030,6
2022-06-02,Puma/Jay-Z,2122,TEB,GND,1885,12633,12629,20
2022-06-02,Floyd Mayweather,913,OPF,IAD,986,6608,6606,10
2022-06-02,Magic Johnson,320,VNY,SFO,497,3333,3332,5
2022-06-02,Kenny Chesney,662,BNA,DWH,607,4065,4064,6
2022-06-02,Puma/Jay-Z,35,FRG,TEB,300,2014,2013,3
2022-06-02,Kim Kardashian,167,SDM,KCMA,300,2009,2008,3
2022-06-02,Kim Kardashian,5459,STN,SDM,5104,34209,34198,54
2022-06-02,Magic Johnson,1218,SAT,VNY,1630,10924,10921,17
2022-06-01,Drake,1411,COS,BQK,5375,36021,36010,57
2022-06-01,Magic Johnson,1218,VNY,SAT,1363,9136,9133,14
2022-06-01,Mark Wahlberg,121,DUB,SNN,192,1287,1286,2
2022-06-01,Mark Wahlberg,270,LTN,DUB,401,2690,2689,4
2022-06-01,Taylor Swift,612,TPA,BNA,514,3448,3447,5
2022-06-01,Taylor Swift,612,BNA,TPA,476,3189,3188,5
